left_hip_anlge,right_hip_anlge,left_knee_anlge,right_knee_anlge,left_ankle_angle_1,left_ankle_angle_2,right_ankle_angle_1,right_ankle_angle_2
187.04670314665097,169.4308543585826,206.53654681136288,201.2365050305122,101.96791177886735,101.96791177886735,113.14770179817498,176.78389991979878
182.19831637370737,170.77820520212447,198.73682169354132,199.37779251877808,113.69156228796497,113.69156228796497,114.32699382685979,177.87636058926662
178.14179895996722,172.79155559993038,180.76433023034758,197.33864274664455,114.91936085938174,114.91936085938174,113.98776429480736,176.00173186029207
172.29854517104866,177.84179524786046,174.89070817062643,191.59512259016378,124.447447313201,124.447447313201,115.72661692247837,173.79928380299253
170.9209256013506,177.49211268803674,165.89189852008565,193.538108137329,123.05541107651688,123.05541107651688,117.08160321463548,174.43478197032206
162.0806617030161,177.81508354392201,176.34537730349004,193.09251995974265,112.92630498729359,112.92630498729359,110.76846687937676,173.6201737386721
156.85452337824924,175.6951841709163,186.2337403274735,202.53111532566365,108.586718574675,108.586718574675,112.76830016976153,174.72481805301112
155.48546894037287,175.8328551774641,195.44003061407528,209.75317394743587,103.09328397621196,103.09328397621196,120.36277501718497,176.2576731826669
157.54435534359675,174.97218632799127,201.3893411204248,218.4624426161681,105.45068418493577,105.45068418493577,126.58673631604152,178.34722216804562
155.9134873239125,172.45519894177582,211.3337714676637,224.9175917544361,106.31742843049618,106.31742843049618,136.01788767658212,180.98691349730663
160.45977082586842,172.2349992920059,207.2824658917327,228.06798855226018,120.19744784226313,120.19744784226313,135.86483804778467,179.76210547006218
174.813978254551,163.48726803896582,200.14433693319012,241.02576036341364,114.43854200854162,114.43854200854162,114.00603072357863,159.59782492809555
180.66478365901517,162.58971366508572,198.7153550159864,234.82215845453547,120.98700550080345,120.98700550080345,127.87535103810345,177.18427261449824
186.1193287751595,167.1495971386316,193.63927866735406,217.00480418143474,115.53502653476654,115.53502653476654,118.14118215263639,178.027809082126
187.52935108513876,158.4940180967593,181.31177654178765,224.31869680064682,116.03981390997362,116.03981390997362,126.65141402879917,182.36372151648635
